iter	Passed	Remaining
717	1329	522
718	1331	520
719	1333	518
720	1335	516
721	1337	514
722	1338	512
723	1340	511
724	1342	509
725	1343	507
726	1345	505
727	1347	503
728	1348	501
729	1351	499
730	1353	498
731	1355	496
732	1357	494
733	1359	492
734	1361	490
735	1363	488
736	1364	487
737	1366	485
738	1368	483
739	1370	481
740	1373	479
741	1374	478
742	1376	476
743	1378	474
744	1380	472
745	1382	470
746	1383	468
747	1385	466
748	1386	464
749	1388	462
750	1389	460
751	1391	458
752	1392	456
753	1394	455
754	1396	453
755	1398	451
756	1401	449
757	1403	448
758	1405	446
759	1406	444
760	1408	442
761	1409	440
762	1412	438
763	1414	436
764	1416	435
765	1419	433
766	1421	431
767	1424	430
768	1426	428
769	1430	427
770	1431	425
771	1433	423
772	1434	421
773	1436	419
774	1438	417
775	1440	415
776	1442	414
777	1446	412
778	1448	410
779	1450	409
780	1451	407
781	1453	405
782	1454	403
783	1456	401
784	1458	399
785	1460	397
786	1462	395
787	1464	394
788	1466	392
789	1469	390
790	1471	388
791	1474	387
792	1476	385
793	1478	383
794	1480	381
795	1482	379
796	1484	378
797	1486	376
798	1487	374
799	1490	372
800	1491	370
801	1493	368
802	1495	366
803	1496	364
804	1498	363
805	1500	361
806	1502	359
807	1504	357
808	1506	355
809	1507	353
810	1509	351
811	1511	349
812	1512	348
813	1515	346
814	1519	344
815	1521	343
816	1524	341
817	1525	339
818	1527	337
819	1528	335
820	1530	333
821	1533	331
822	1535	330
823	1538	328
824	1539	326
825	1541	324
826	1543	322
827	1545	320
828	1547	319
829	1550	317
830	1553	315
831	1555	314
832	1557	312
833	1558	310
834	1561	308
835	1564	306
836	1566	305
837	1568	303
838	1570	301
839	1572	299
840	1573	297
841	1575	295
842	1577	293
843	1579	291
844	1581	290
845	1583	288
846	1585	286
847	1586	284
848	1588	282
849	1590	280
850	1592	278
851	1595	277
852	1597	275
853	1599	273
854	1601	271
855	1602	269
856	1603	267
857	1605	265
858	1607	263
859	1609	261
860	1610	260
861	1612	258
862	1613	256
863	1614	254
864	1616	252
865	1617	250
866	1619	248
867	1620	246
868	1622	244
869	1624	242
870	1626	240
871	1628	239
872	1631	237
873	1632	235
874	1634	233
875	1635	231
876	1637	229
877	1639	227
878	1642	226
879	1644	224
880	1646	222
881	1647	220
882	1649	218
883	1650	216
884	1651	214
885	1653	212
886	1654	210
887	1655	208
888	1657	206
889	1658	204
890	1659	203
891	1660	201
892	1661	199
893	1663	197
894	1664	195
895	1665	193
896	1666	191
897	1668	189
898	1669	187
899	1671	185
900	1673	183
901	1674	181
902	1675	180
903	1677	178
904	1678	176
905	1679	174
906	1680	172
907	1682	170
908	1684	168
909	1685	166
910	1686	164
911	1687	162
912	1688	160
913	1689	159
914	1691	157
915	1692	155
916	1693	153
917	1694	151
918	1695	149
919	1697	147
920	1698	145
921	1700	143
922	1701	141
923	1703	140
924	1704	138
925	1705	136
926	1707	134
927	1708	132
928	1709	130
929	1710	128
930	1711	126
931	1713	125
932	1714	123
933	1716	121
934	1717	119
935	1718	117
936	1719	115
937	1720	113
938	1721	111
939	1722	109
940	1723	108
941	1724	106
942	1725	104
943	1726	102
944	1729	100
945	1731	98
946	1733	96
947	1734	95
948	1735	93
949	1737	91
950	1738	89
951	1739	87
952	1740	85
953	1741	83
954	1743	82
955	1744	80
956	1745	78
